index_condition,query_condition,query_id,recall,entry_point_dist,layer1_visits,base_visited,lb_trace_len,lb_trace_final
incremental,in_distribution,61,0.2,5785.17334,48,51,51,192.148315
incremental,in_distribution,62,0.1,6750.700195,80,59,59,196.572723
incremental,in_distribution,63,0.3,7859.893555,48,59,59,164.901245
incremental,in_distribution,64,0.1,5637.49707,80,56,56,190.000824
incremental,in_distribution,65,0.6,7318.928711,16,60,60,182.372742
incremental,in_distribution,66,0.5,7640.161621,32,68,68,187.239075
incremental,in_distribution,67,0.5,8016.503418,16,60,60,181.425903
incremental,in_distribution,68,0.7,6739.406738,32,54,54,146.957153
incremental,in_distribution,69,0.5,5758.190918,16,54,54,180.94223
incremental,in_distribution,70,0.4,6060.928711,16,68,68,174.729904
incremental,in_distribution,71,0.2,5893.209961,48,60,60,163.927994
incremental,in_distribution,72,0.4,243.078613,32,54,54,166.619034
incremental,in_distribution,73,0.3,6681.044922,16,56,56,164.313873
incremental,in_distribution,74,0.5,6656.161133,48,61,61,189.992386
incremental,in_distribution,75,0.4,6212.250977,48,61,61,170.67865
incremental,in_distribution,76,0.4,8116.092773,48,54,54,178.594116
incremental,in_distribution,77,0.4,6143.470703,64,54,54,168.696915
incremental,in_distribution,78,0.1,7731.525391,16,51,51,165.047211
incremental,in_distribution,79,0.4,7458.545898,16,77,77,175.431717
incremental,in_distribution,80,0.3,6295.226074,16,51,51,187.499954
incremental,in_distribution,81,0.1,6335.857422,48,51,51,182.275253
incremental,in_distribution,82,0.5,5989.393555,32,60,60,156.251984
incremental,in_distribution,83,0.5,262.257019,16,54,54,162.981354
incremental,in_distribution,84,0.1,5818.98291,48,50,50,179.668152
incremental,in_distribution,85,0.0,7254.700195,16,57,57,179.872192
incremental,in_distribution,86,0.3,6372.21582,32,53,53,174.802368
incremental,in_distribution,87,0.2,6101.361328,48,65,65,182.136765
incremental,in_distribution,88,0.4,5759.320801,16,52,52,212.039078
incremental,in_distribution,89,0.4,5787.750977,48,50,50,185.701279
incremental,in_distribution,90,0.4,6591.786133,16,62,62,178.904144
incremental,in_distribution,91,0.0,5720.268066,32,52,52,186.807648
incremental,in_distribution,92,0.4,7518.632812,32,51,51,178.096451
incremental,in_distribution,93,0.2,5754.563477,16,60,60,193.786469
incremental,in_distribution,94,0.4,6267.259766,32,65,65,167.440689
incremental,in_distribution,95,0.0,6748.962891,16,57,57,4082.172363
incremental,in_distribution,96,0.5,5725.146484,16,56,56,175.485733
incremental,in_distribution,97,0.3,7005.876465,64,51,51,179.553696
incremental,in_distribution,98,0.2,7448.443848,64,56,56,178.608109
incremental,in_distribution,99,0.0,6780.652832,16,58,58,4243.999023
incremental,in_distribution,100,0.4,8159.212402,32,54,54,182.260101
incremental,in_distribution,101,0.4,6329.23584,32,50,50,176.589279
incremental,in_distribution,102,0.6,5610.641113,16,75,75,195.04425
incremental,in_distribution,103,0.5,7598.111328,32,64,64,166.744553
incremental,in_distribution,104,0.4,7702.266113,16,55,55,161.495407
incremental,in_distribution,105,0.5,8123.72168,16,60,60,185.742218
incremental,in_distribution,106,0.1,6012.182617,32,52,52,174.281952
incremental,in_distribution,107,0.1,5820.730469,32,52,52,167.000031
incremental,in_distribution,108,0.3,7347.675781,16,54,54,188.989227
incremental,in_distribution,109,0.4,6773.300781,16,53,53,181.570816
incremental,in_distribution,110,0.5,5651.950195,70,61,61,175.470688
incremental,in_distribution,111,0.4,6479.480957,32,55,55,185.42244
incremental,in_distribution,112,0.3,5979.569336,32,56,56,191.621124
incremental,in_distribution,113,0.4,6390.538086,16,56,56,154.937469
incremental,in_distribution,114,0.0,6764.868164,16,54,54,4227.078125
incremental,in_distribution,115,0.4,5976.518555,16,58,58,170.387604
incremental,in_distribution,116,0.3,8580.761719,16,54,54,184.126495
incremental,in_distribution,117,0.3,6964.662109,16,57,57,161.574005
incremental,in_distribution,118,0.3,6475.071289,48,63,63,166.772659
incremental,in_distribution,119,0.2,5527.898926,16,75,75,208.548813
incremental,in_distribution,120,0.0,6685.098633,16,61,61,4293.75
incremental,in_distribution,121,0.5,7429.734863,48,53,53,167.702896
incremental,in_distribution,122,0.3,6171.481445,47,71,71,168.310959
incremental,in_distribution,123,0.6,7677.282715,48,57,57,172.477264
incremental,in_distribution,124,0.2,7537.229004,16,56,56,190.695648
incremental,in_distribution,125,0.3,5950.705566,32,60,60,175.619766
incremental,in_distribution,126,0.3,8081.824707,16,58,58,173.642609
incremental,in_distribution,127,0.0,6595.006348,16,53,53,4098.420898
incremental,in_distribution,128,0.4,7023.881348,16,64,64,193.954865
incremental,in_distribution,129,0.2,6735.376465,16,50,50,182.735687
incremental,in_distribution,130,0.2,6072.709961,16,53,53,185.602875
incremental,in_distribution,131,0.2,254.757935,29,56,56,180.031433
incremental,in_distribution,132,0.2,6017.744629,16,80,80,170.305283
incremental,in_distribution,133,0.3,6576.952637,16,66,66,194.594681
incremental,in_distribution,134,0.3,5700.628418,16,53,53,161.884644
incremental,in_distribution,135,0.1,6644.996094,32,56,56,163.362854
incremental,in_distribution,136,0.0,6830.818848,16,64,64,4080.303223
incremental,in_distribution,137,0.5,6446.852051,48,59,59,172.047607
incremental,in_distribution,138,0.1,6055.818848,16,51,51,214.230377
incremental,in_distribution,139,0.1,268.85022,64,56,56,167.869019
incremental,in_distribution,140,0.2,6122.268555,16,51,51,172.985931
incremental,in_distribution,141,0.5,6265.897949,16,58,58,180.093857
incremental,in_distribution,142,0.5,5527.352539,48,63,63,204.491119
incremental,in_distribution,143,0.3,7369.14209,32,53,53,160.010025
incremental,in_distribution,144,0.3,6346.55957,32,65,65,180.913528
incremental,in_distribution,145,0.3,7433.005371,16,55,55,179.393967
incremental,in_distribution,146,0.4,6707.34082,48,57,57,191.923309
incremental,in_distribution,147,0.4,5982.174805,48,62,62,193.403366
incremental,in_distribution,148,0.1,6691.237305,16,61,61,164.028046
incremental,in_distribution,149,0.2,5403.605957,16,51,51,183.485519
incremental,in_distribution,150,0.0,6687.540527,64,57,57,4309.65918
incremental,in_distribution,151,0.0,6873.152832,16,58,58,4382.320312
incremental,in_distribution,152,0.1,5711.1875,16,52,52,197.643753
incremental,in_distribution,153,0.0,6898.439941,64,52,52,199.333694
incremental,in_distribution,154,0.1,6765.414062,32,59,59,181.494614
incremental,in_distribution,155,0.4,5989.465332,16,65,65,198.229385
incremental,in_distribution,156,0.5,6212.422363,48,56,56,172.417053
incremental,in_distribution,157,0.5,7512.979492,48,53,53,176.336258
incremental,in_distribution,158,0.4,272.58844,16,51,51,203.182617
incremental,in_distribution,159,0.3,5773.677246,16,51,51,187.338638
incremental,in_distribution,160,0.2,5803.605469,16,54,54,183.791458
incremental,in_distribution,161,0.4,8676.230469,16,51,51,165.835144
incremental,in_distribution,162,0.4,6001.46875,16,55,55,162.584824
incremental,in_distribution,163,0.5,6863.709961,32,58,58,164.948929
incremental,in_distribution,164,0.3,7412.558594,16,53,53,161.138367
incremental,in_distribution,165,0.5,8443.726562,48,53,53,175.643326
incremental,in_distribution,166,0.4,6742.977051,16,56,56,166.514267
incremental,in_distribution,167,0.2,6423.385254,16,60,60,179.929596
incremental,in_distribution,168,0.0,6055.129395,16,70,70,3107.226562
incremental,in_distribution,169,0.1,6663.455078,16,54,54,180.280655
incremental,in_distribution,170,0.3,6322.464844,48,62,62,172.548126
incremental,in_distribution,171,0.4,8277.375977,16,51,51,187.985657
incremental,in_distribution,172,0.3,7060.062988,32,54,54,205.09227
incremental,in_distribution,173,0.4,6337.990234,32,54,54,163.257751
incremental,in_distribution,174,0.3,6042.367676,32,57,57,209.811951
incremental,in_distribution,175,0.4,7070.576172,22,57,57,176.245743
incremental,in_distribution,176,0.2,5750.107422,48,53,53,205.291351
incremental,in_distribution,177,0.2,6093.330566,64,51,51,176.343552
incremental,in_distribution,178,0.3,6417.262695,32,53,53,148.529526
incremental,in_distribution,179,0.2,5462.455078,16,54,54,185.32132
incremental,in_distribution,180,0.4,5930.916992,16,56,56,163.287445
incremental,in_distribution,181,0.4,6920.047363,45,57,57,159.776001
incremental,in_distribution,182,0.1,5743.375,48,51,51,176.307938
incremental,in_distribution,183,0.4,272.981506,16,54,54,170.314575
incremental,in_distribution,184,0.3,6862.9375,32,51,51,171.280853
incremental,in_distribution,185,0.4,5976.572266,16,73,73,195.430038
incremental,in_distribution,186,0.4,6928.27002,32,58,58,185.617126
incremental,in_distribution,187,0.6,5919.108398,48,57,57,174.441483
incremental,in_distribution,188,0.3,5534.400391,32,57,57,167.6008
incremental,in_distribution,189,0.2,8322.257812,16,62,62,188.441162
incremental,in_distribution,190,0.5,6335.131348,11,59,59,181.164276
incremental,in_distribution,191,0.3,5722.049805,48,55,55,185.816391
incremental,in_distribution,192,0.2,6669.523926,16,50,50,209.320557
incremental,in_distribution,193,0.0,6791.865234,16,59,59,4153.883301
incremental,in_distribution,194,0.2,6310.70459,64,54,54,184.331116
incremental,in_distribution,195,0.2,7946.398438,32,53,53,177.520721
incremental,in_distribution,196,0.4,7599.273438,16,56,56,162.11142
incremental,in_distribution,197,0.2,7050.572754,16,56,56,185.104782
incremental,in_distribution,198,0.4,6701.664062,48,63,63,180.164001
incremental,in_distribution,199,0.2,5366.462402,80,52,52,191.3013
incremental,in_distribution,200,0.3,6206.964844,30,57,57,182.971603
incremental,in_distribution,201,0.1,248.02655,16,58,58,195.12561
incremental,in_distribution,202,0.4,6410.0625,16,53,53,180.676605
incremental,in_distribution,203,0.3,7987.343262,48,51,51,175.80481
incremental,in_distribution,204,0.3,7304.425293,32,54,54,161.552826
incremental,in_distribution,205,0.3,8393.998047,16,52,52,190.989822
incremental,in_distribution,206,0.2,6051.512695,64,56,56,184.999985
incremental,in_distribution,207,0.3,205.254364,32,55,55,165.011871
incremental,in_distribution,208,0.2,5437.618652,48,62,62,156.17485
incremental,in_distribution,209,0.1,6007.038574,32,60,60,178.548096
incremental,in_distribution,210,0.2,6581.74707,32,56,56,178.055145
incremental,in_distribution,211,0.4,6460.206055,16,54,54,180.997757
incremental,in_distribution,212,0.5,6502.413086,16,74,74,172.355209
incremental,in_distribution,213,0.1,5651.117188,32,55,55,167.877869
incremental,in_distribution,214,0.5,6619.790039,6,60,60,193.290085
incremental,in_distribution,215,0.2,7218.102539,16,54,54,185.317993
incremental,in_distribution,216,0.6,6894.691406,16,63,63,154.704468
incremental,in_distribution,217,0.5,7255.805176,32,53,53,172.133499
incremental,in_distribution,218,0.6,6871.054688,32,58,58,167.703094
incremental,in_distribution,219,0.3,7804.968262,16,57,57,200.637863
incremental,in_distribution,220,0.2,7201.896973,27,54,54,158.520416
incremental,in_distribution,221,0.0,6657.546387,16,62,62,4166.44043
incremental,in_distribution,222,0.2,5759.220703,96,52,52,183.009338
incremental,in_distribution,223,0.3,6227.434082,62,56,56,158.030548
incremental,in_distribution,224,0.6,240.0009,32,51,51,159.807526
incremental,in_distribution,225,0.4,7374.994141,48,50,50,180.110413
incremental,in_distribution,226,0.2,7647.388672,16,59,59,163.557434
incremental,in_distribution,227,0.5,8260.286133,32,56,56,163.363876
incremental,in_distribution,228,0.1,6026.84082,32,56,56,184.636963
incremental,in_distribution,229,0.6,6663.947266,32,53,53,168.591919
incremental,in_distribution,230,0.3,6145.838867,16,54,54,155.957901
incremental,in_distribution,231,0.5,5856.390137,32,52,52,188.435043
incremental,in_distribution,232,0.4,5755.675781,32,54,54,173.086487
incremental,in_distribution,233,0.1,217.991425,16,57,57,169.457214
incremental,in_distribution,234,0.4,232.727646,16,64,64,174.028091
incremental,in_distribution,235,0.4,6372.823242,16,50,50,182.492844
incremental,in_distribution,236,0.4,6057.177246,32,62,62,189.531128
incremental,in_distribution,237,0.5,6890.26123,32,51,51,169.920258
incremental,in_distribution,238,0.3,6005.65332,32,70,70,168.280548
incremental,in_distribution,239,0.6,239.179321,16,57,57,171.574554
incremental,in_distribution,240,0.3,6518.583984,16,63,63,169.798767
incremental,in_distribution,241,0.3,7306.949707,16,62,62,175.822052
incremental,in_distribution,242,0.2,6101.579102,32,64,64,169.310471
incremental,in_distribution,243,0.3,6008.90625,32,53,53,176.461502
incremental,in_distribution,244,0.5,5682.283691,16,54,54,194.579285
incremental,in_distribution,245,0.5,6816.528809,29,50,50,175.710693
incremental,in_distribution,246,0.1,5532.134766,32,63,63,175.483307
incremental,in_distribution,247,0.0,5854.118164,32,51,51,183.569855
incremental,in_distribution,248,0.1,254.731262,16,52,52,162.727234
incremental,in_distribution,249,0.2,5526.788574,16,55,55,206.320114
incremental,in_distribution,250,0.2,6073.219727,48,50,50,163.48024
incremental,in_distribution,251,0.3,6685.62793,16,63,63,181.160721
incremental,in_distribution,252,0.4,5624.473145,32,64,64,181.799011
incremental,in_distribution,253,0.3,6876.790527,16,53,53,172.348755
incremental,in_distribution,254,0.1,8414.636719,32,67,67,172.748413
incremental,in_distribution,255,0.2,5587.564453,32,70,70,154.093063
incremental,in_distribution,256,0.3,253.159348,32,57,57,196.897919
incremental,in_distribution,257,0.3,5837.955078,48,58,58,177.789368
incremental,in_distribution,258,0.4,7580.598633,27,58,58,174.618088
incremental,in_distribution,259,0.4,5826.751465,16,59,59,175.397949
incremental,in_distribution,260,0.4,6585.670898,32,67,67,174.837311
incremental,in_distribution,261,0.3,6001.519531,16,51,51,177.474869
incremental,in_distribution,262,0.2,6242.855957,16,57,57,170.533646
incremental,in_distribution,263,0.1,6874.945312,32,50,50,174.447723
incremental,in_distribution,264,0.2,7140.319824,32,52,52,197.513672
incremental,in_distribution,265,0.0,5677.415039,16,59,59,187.632507
incremental,in_distribution,266,0.2,5491.999512,48,59,59,196.200439
incremental,in_distribution,267,0.3,6067.649902,32,58,58,185.890167
incremental,in_distribution,268,0.3,8085.719727,32,54,54,175.881287
incremental,in_distribution,269,0.4,6745.797852,16,53,53,164.450668
incremental,in_distribution,270,0.0,6907.234375,16,51,51,4270.462891
incremental,in_distribution,271,0.2,7836.701172,32,52,52,173.060898
incremental,in_distribution,272,0.2,7078.532227,48,54,54,175.179489
incremental,in_distribution,273,0.4,5652.321289,48,57,57,171.679092
incremental,in_distribution,274,0.6,5939.355469,32,52,52,178.002975
incremental,in_distribution,275,0.1,5577.508301,80,65,65,157.807556
incremental,in_distribution,276,0.2,5981.81543,16,69,69,166.567459
incremental,in_distribution,277,0.0,6903.578125,16,52,52,4234.987793
incremental,in_distribution,278,0.4,6568.991211,16,51,51,169.651489
incremental,in_distribution,279,0.5,6083.708008,32,54,54,193.868011
incremental,in_distribution,280,0.0,7092.76123,16,60,60,4484.543457
incremental,in_distribution,281,0.3,6297.288086,32,61,61,159.416885
incremental,in_distribution,282,0.1,5972.413086,16,52,52,176.494629
incremental,in_distribution,283,0.8,7057.507812,16,53,53,187.843842
incremental,in_distribution,284,0.3,6418.37207,48,55,55,191.952377
incremental,in_distribution,285,0.6,6314.459473,16,54,54,186.110947
incremental,in_distribution,286,0.0,5613.239746,16,54,54,203.209167
incremental,in_distribution,287,0.4,7637.873047,16,54,54,175.370071
incremental,in_distribution,288,0.5,6699.584961,32,54,54,187.512299
incremental,in_distribution,289,0.2,6365.380371,16,54,54,159.659683
incremental,in_distribution,290,0.4,5723.594727,16,54,54,179.739685
incremental,in_distribution,291,0.3,5936.916992,64,51,51,193.477203
incremental,in_distribution,292,0.3,5578.372559,32,57,57,180.383362
incremental,in_distribution,293,0.1,5808.007812,16,59,59,173.190491
incremental,in_distribution,294,0.2,293.492371,48,51,51,205.568939
incremental,in_distribution,295,0.3,6578.999512,16,76,76,169.557159
incremental,in_distribution,296,0.3,6178.749023,16,58,58,155.654114
incremental,in_distribution,297,0.6,5644.178223,16,51,51,180.18071
incremental,in_distribution,298,0.3,6778.150879,32,50,50,159.114471
incremental,in_distribution,299,0.0,257.576233,12,52,52,190.877106
incremental,in_distribution,300,0.2,6067.497559,16,67,67,178.081299
incremental,in_distribution,301,0.3,5431.642578,32,56,56,192.126419
incremental,in_distribution,302,0.4,6814.226562,32,53,53,158.234329
incremental,in_distribution,303,0.2,6863.823242,15,56,56,205.095337
incremental,in_distribution,304,0.3,8008.641113,48,57,57,180.26265
incremental,in_distribution,305,0.9,5978.896973,16,52,52,160.612305
incremental,in_distribution,306,0.2,6478.803711,14,56,56,178.700684
incremental,in_distribution,307,0.4,6982.126953,32,53,53,190.244904
incremental,in_distribution,308,0.3,6437.490234,16,61,61,181.883728
incremental,in_distribution,309,0.3,6344.755859,16,51,51,203.811584
incremental,in_distribution,310,0.2,6724.920898,48,59,59,165.989334
incremental,in_distribution,311,0.5,6189.737305,32,59,59,174.930649
incremental,in_distribution,312,0.2,8087.880371,32,54,54,177.094269
incremental,in_distribution,313,0.3,8352.826172,16,52,52,180.514816
incremental,in_distribution,314,0.1,6222.021484,32,55,55,192.729065
incremental,in_distribution,315,0.0,6906.665039,16,61,61,4437.330566
incremental,in_distribution,316,0.3,7728.432617,64,59,59,182.409607
incremental,in_distribution,317,0.2,8156.112305,48,56,56,169.996902
incremental,in_distribution,318,0.2,7338.12793,32,51,51,156.751053
incremental,in_distribution,319,0.1,260.996429,32,56,56,163.435104
incremental,in_distribution,320,0.2,6771.112793,16,58,58,179.496201
incremental,in_distribution,321,0.1,6379.383789,16,53,53,217.621521
incremental,in_distribution,322,0.6,7635.628906,16,59,59,180.809753
incremental,in_distribution,323,0.5,5869.915527,48,50,50,193.296783
incremental,in_distribution,324,0.3,8059.268066,32,55,55,197.686157
incremental,in_distribution,325,0.1,6314.87207,32,51,51,198.205231
incremental,in_distribution,326,0.0,6593.479004,16,65,65,4218.145508
incremental,in_distribution,327,0.5,7017.312012,16,56,56,176.982025
incremental,in_distribution,328,0.2,7483.532227,16,57,57,190.649246
incremental,in_distribution,329,0.3,5592.375488,16,55,55,191.399994
incremental,in_distribution,330,0.2,5892.018066,48,61,61,182.125504
incremental,in_distribution,331,0.2,237.006653,16,53,53,191.639038
incremental,in_distribution,332,0.4,7473.35791,16,56,56,183.155884
incremental,in_distribution,333,0.1,5643.937012,16,59,59,166.08017
incremental,in_distribution,334,0.1,5774.770508,16,60,60,216.346771
incremental,in_distribution,335,0.4,5507.191895,48,51,51,198.737793
incremental,in_distribution,336,0.2,7014.470703,32,64,64,184.345444
incremental,in_distribution,337,0.2,7051.481445,32,73,73,170.736633
incremental,in_distribution,338,0.3,7064.374023,48,58,58,189.4543
incremental,in_distribution,339,0.8,6734.688965,32,57,57,158.477798
incremental,in_distribution,340,0.0,6140.09082,15,57,57,196.605896
incremental,in_distribution,341,0.0,6097.380859,16,54,54,175.691925
incremental,in_distribution,342,0.2,6925.125,16,56,56,199.99379
incremental,in_distribution,343,0.2,6641.084961,16,75,75,189.579681
incremental,in_distribution,344,0.4,7024.90625,16,54,54,191.889343
incremental,in_distribution,345,0.2,6350.757812,16,61,61,182.416138
incremental,in_distribution,346,0.4,6594.424316,8,59,59,197.225357
incremental,in_distribution,347,0.1,7441.195801,64,54,54,171.629791
incremental,in_distribution,348,0.0,6690.741211,16,60,60,4134.474121
incremental,in_distribution,349,0.2,5969.477539,16,54,54,193.588913
incremental,in_distribution,350,0.6,5500.727539,16,62,62,168.318893
incremental,in_distribution,351,0.0,5597.353027,16,61,61,177.82579
incremental,in_distribution,352,0.1,7743.17041,48,51,51,206.180786
incremental,in_distribution,353,0.4,6809.816406,16,72,72,179.390015
incremental,in_distribution,354,0.2,5743.410156,48,51,51,172.913437
incremental,in_distribution,355,0.1,5719.318359,48,54,54,183.995682
incremental,in_distribution,356,0.4,6857.039062,16,55,55,172.489639
incremental,in_distribution,357,0.3,6680.908203,16,62,62,179.400803
incremental,in_distribution,358,0.1,8396.785156,16,53,53,178.42868
incremental,in_distribution,359,0.4,5846.535645,16,54,54,171.032669
incremental,in_distribution,360,0.5,6205.154297,32,77,77,176.572205
incremental,in_distribution,361,0.3,5706.737305,48,61,61,171.675491
incremental,in_distribution,362,0.3,5689.872559,16,55,55,177.230331
incremental,in_distribution,363,0.5,6786.677734,11,53,53,187.087311
incremental,in_distribution,364,0.3,6055.678223,32,61,61,183.214951
incremental,in_distribution,365,0.0,6814.895508,16,56,56,4173.638672
incremental,in_distribution,366,0.3,5420.083984,48,51,51,174.142746
incremental,in_distribution,367,0.7,8083.137207,48,57,57,176.904083
incremental,in_distribution,368,0.1,6430.050293,16,59,59,183.284271
incremental,in_distribution,369,0.2,6102.375977,32,53,53,181.118103
incremental,in_distribution,370,0.3,5869.791504,32,60,60,185.451569
incremental,in_distribution,371,0.2,6824.448242,32,60,60,181.824097
incremental,in_distribution,372,0.1,5669.382812,64,51,51,199.48378
incremental,in_distribution,373,0.0,6435.52832,16,54,54,4078.033447
incremental,in_distribution,374,0.3,7829.061035,16,68,68,176.687408
incremental,in_distribution,375,0.5,8256.143555,32,66,66,172.351471
incremental,in_distribution,376,0.3,5728.1875,48,57,57,184.722443
incremental,in_distribution,377,0.4,257.541748,32,65,65,184.831024
incremental,in_distribution,378,0.4,6641.64209,16,58,58,200.010406
incremental,in_distribution,379,0.2,7962.480469,16,69,69,180.035736
incremental,in_distribution,380,0.3,5611.649902,16,52,52,191.904541
incremental,in_distribution,381,0.6,7613.663086,16,54,54,159.916565
incremental,in_distribution,382,0.3,7467.607422,16,53,53,183.056351
incremental,in_distribution,383,0.0,5409.64209,15,53,53,182.912247
incremental,in_distribution,384,0.0,6763.63916,16,52,52,4390.108398
incremental,in_distribution,385,0.4,7566.401367,64,57,57,193.016403
incremental,in_distribution,386,0.3,7679.564453,16,55,55,185.139374
incremental,in_distribution,387,0.2,7486.679199,32,57,57,168.136917
incremental,in_distribution,388,0.4,5834.791992,48,55,55,168.771133
incremental,in_distribution,389,0.3,229.330185,16,53,53,169.876862
incremental,in_distribution,390,0.3,6276.495117,16,53,53,196.687317
incremental,in_distribution,391,0.2,7684.731934,16,55,55,176.960663
incremental,in_distribution,392,0.3,5692.859863,48,52,52,177.859772
incremental,in_distribution,393,0.4,5741.062988,32,51,51,168.152115
incremental,in_distribution,394,0.5,5689.944336,16,70,70,166.899475
incremental,in_distribution,395,0.5,7565.538086,32,58,58,165.177017
incremental,in_distribution,396,0.4,6937.089844,16,69,69,200.310486
incremental,in_distribution,397,0.2,298.231934,48,54,54,208.902832
incremental,in_distribution,398,0.3,6261.754883,16,58,58,187.106415
incremental,in_distribution,399,0.1,6396.727539,16,52,52,175.299728
incremental,in_distribution,400,0.0,6606.310547,16,60,60,4156.842285
incremental,in_distribution,401,0.5,6665.001953,32,63,63,172.969391
incremental,in_distribution,402,0.1,7327.615234,16,60,60,183.212112
incremental,in_distribution,403,0.2,8230.564453,48,55,55,189.334442
incremental,in_distribution,404,0.4,6818.381836,47,58,58,182.151199
incremental,in_distribution,405,0.2,6787.755371,48,62,62,196.301193
incremental,in_distribution,406,0.4,5379.446289,32,60,60,183.469864
incremental,in_distribution,407,0.6,7666.798828,16,55,55,187.245178
incremental,in_distribution,408,0.1,5596.279785,46,62,62,163.098083
incremental,in_distribution,409,0.0,6763.598145,16,52,52,4475.461426
incremental,in_distribution,410,0.2,6668.477539,80,59,59,174.002014
incremental,in_distribution,411,0.4,5887.850586,16,57,57,173.150009
incremental,in_distribution,412,0.3,6417.470703,16,53,53,176.223221
incremental,in_distribution,413,0.2,7598.884277,64,55,55,176.398941
incremental,in_distribution,414,0.4,5859.898438,16,59,59,175.02301
incremental,in_distribution,415,0.2,6452.109863,16,57,57,163.419434
incremental,in_distribution,416,0.2,7386.125488,32,60,60,192.788788
incremental,in_distribution,417,0.2,6027.006348,32,51,51,188.257172
incremental,in_distribution,418,0.2,336.786926,31,69,69,203.067383
incremental,in_distribution,419,0.1,7264.102051,16,64,64,200.085037
incremental,in_distribution,420,0.1,5600.165039,63,54,54,199.095154
