query_id,window,recall,entry_point_distance,base_layer_entry_distance,upper_layer_dist_comps,base_layer_visited,base_layer_dist_comps,candidates_remaining,trace_length,layer_0_visits,layer_1_visits,layer_2_visits,layer_3_visits,layer_4_visits,layer_5_visits
36,in_distribution,1.0,479.6866149902344,7.717565536499023,56,200,1580,255,200,0,14,34,8,0,0
37,in_distribution,1.0,545.9579467773438,8.306385040283203,55,200,1549,246,200,0,28,19,8,0,0
38,in_distribution,1.0,437.1686706542969,7.462364673614502,50,200,1510,242,200,0,35,7,8,0,0
39,in_distribution,1.0,472.6618957519531,7.7962565422058105,44,200,1553,297,200,0,16,20,8,0,0
40,in_distribution,1.0,514.6358642578125,7.749356746673584,52,200,1542,281,200,0,29,15,8,0,0
41,in_distribution,1.0,433.1537170410156,7.472292900085449,39,200,1528,245,200,0,20,11,8,0,0
42,in_distribution,1.0,488.487548828125,8.509610176086426,94,200,1560,255,200,0,45,41,8,0,0
43,in_distribution,1.0,425.34564208984375,8.72092342376709,58,200,1537,264,200,0,32,18,8,0,0
44,in_distribution,1.0,528.9739379882812,7.332527160644531,63,200,1534,242,200,0,40,15,8,0,0
45,in_distribution,1.0,491.9588623046875,6.65349006652832,85,200,1551,252,200,0,42,35,8,0,0
46,in_distribution,1.0,9.650164604187012,8.303760528564453,37,200,1569,241,200,0,17,16,4,0,0
47,in_distribution,1.0,461.7281494140625,7.537595272064209,29,200,1582,248,200,0,11,10,8,0,0
48,in_distribution,1.0,521.456787109375,8.795427322387695,46,200,1520,277,200,0,20,18,8,0,0
49,in_distribution,1.0,420.3122253417969,8.794368743896484,26,200,1542,257,200,0,9,9,8,0,0
50,in_distribution,1.0,493.5139465332031,7.7032470703125,54,200,1572,275,200,0,13,33,8,0,0
51,in_distribution,1.0,478.1636657714844,0.0,65,200,1560,270,200,0,23,34,8,0,0
52,in_distribution,1.0,488.82794189453125,7.680264949798584,81,200,1610,260,200,0,40,33,8,0,0
53,in_distribution,1.0,424.72247314453125,7.324819087982178,52,200,1522,264,200,0,22,22,8,0,0
54,in_distribution,1.0,388.8642578125,8.236684799194336,53,200,1586,254,200,0,27,18,8,0,0
55,in_distribution,1.0,522.8386840820312,7.936537742614746,55,200,1501,244,200,0,25,22,8,0,0
56,in_distribution,1.0,11.365201950073242,8.137237548828125,69,200,1549,239,200,0,47,18,4,0,0
57,in_distribution,1.0,453.8067626953125,8.48981761932373,56,200,1616,300,200,0,24,24,8,0,0
58,in_distribution,1.0,530.2835083007812,8.767717361450195,65,200,1526,293,200,0,43,14,8,0,0
59,in_distribution,1.0,384.193359375,8.44087028503418,34,200,1592,267,200,0,16,10,8,0,0
60,in_distribution,1.0,10.997081756591797,0.0,62,200,1563,246,200,0,40,18,4,0,0
61,in_distribution,1.0,416.03912353515625,0.0,23,200,1550,263,200,0,11,4,8,0,0
62,in_distribution,1.0,424.3077392578125,0.0,33,200,1507,263,200,0,16,9,8,0,0
63,in_distribution,1.0,424.4777526855469,7.557840824127197,54,201,1540,259,201,0,30,16,8,0,0
64,in_distribution,1.0,493.33758544921875,8.348539352416992,56,200,1569,264,200,0,14,34,8,0,0
65,in_distribution,1.0,465.1514892578125,9.269814491271973,54,200,1575,253,200,0,36,10,8,0,0
66,in_distribution,1.0,410.99615478515625,8.079971313476562,35,200,1549,269,200,0,11,16,8,0,0
67,in_distribution,1.0,9.418301582336426,7.501275062561035,67,200,1547,229,200,0,41,22,4,0,0
68,in_distribution,1.0,428.1258850097656,7.508388042449951,86,200,1540,242,200,0,60,18,8,0,0
69,in_distribution,1.0,532.9003295898438,8.091315269470215,48,200,1536,254,200,0,26,14,8,0,0
70,in_distribution,1.0,494.48016357421875,6.407638072967529,64,200,1590,272,200,0,24,32,8,0,0
71,in_distribution,1.0,541.1124877929688,8.731705665588379,62,200,1518,305,200,0,35,19,8,0,0
72,in_distribution,1.0,388.3572998046875,6.776747226715088,48,200,1560,245,200,0,30,10,8,0,0
73,in_distribution,1.0,536.9656372070312,7.841677665710449,77,200,1541,268,200,0,55,14,8,0,0
74,in_distribution,1.0,11.182395935058594,7.4432854652404785,58,200,1572,265,200,0,32,22,4,0,0
75,in_distribution,1.0,383.93157958984375,7.2507734298706055,79,200,1586,232,200,0,55,16,8,0,0
76,in_distribution,1.0,403.63653564453125,9.45426082611084,37,200,1597,261,200,0,13,16,8,0,0
77,in_distribution,1.0,497.4670715332031,0.0,84,200,1561,258,200,0,41,35,8,0,0
78,in_distribution,1.0,474.86968994140625,8.080302238464355,44,200,1578,267,200,0,16,20,8,0,0
79,in_distribution,1.0,534.6903686523438,7.109132766723633,49,200,1560,262,200,0,27,14,8,0,0
80,in_distribution,1.0,538.0659790039062,7.18373966217041,71,200,1522,247,200,0,48,15,8,0,0
81,in_distribution,1.0,464.3885803222656,8.327136993408203,44,200,1570,288,200,0,16,20,8,0,0
82,in_distribution,1.0,433.5574035644531,9.044038772583008,27,200,1528,262,200,0,9,10,8,0,0
83,in_distribution,1.0,536.87890625,7.228198528289795,76,200,1518,267,200,0,44,24,8,0,0
84,in_distribution,1.0,546.43994140625,7.626437187194824,48,200,1525,275,200,0,21,19,8,0,0
85,in_distribution,1.0,472.06927490234375,7.301191329956055,29,200,1538,259,200,0,11,10,8,0,0
86,in_distribution,1.0,432.5220031738281,7.841375350952148,43,200,1517,263,200,0,25,10,8,0,0
87,in_distribution,1.0,463.705078125,0.0,84,200,1566,267,200,0,66,10,8,0,0
88,in_distribution,1.0,431.7465515136719,7.890359878540039,43,200,1522,271,200,0,12,23,8,0,0
89,in_distribution,1.0,441.12518310546875,8.695055961608887,21,200,1527,252,200,0,6,7,8,0,0
90,in_distribution,1.0,490.90631103515625,8.475948333740234,74,200,1579,252,200,0,39,27,8,0,0
91,in_distribution,1.0,390.3446960449219,7.778171539306641,64,200,1600,277,200,0,41,15,8,0,0
92,in_distribution,1.0,10.553322792053223,8.373871803283691,58,200,1563,270,200,0,38,16,4,0,0
93,in_distribution,1.0,10.281635284423828,7.165322303771973,46,200,1568,244,200,0,24,18,4,0,0
94,in_distribution,1.0,534.479736328125,7.458595275878906,51,200,1517,249,200,0,29,14,8,0,0
95,in_distribution,1.0,459.75958251953125,8.576247215270996,42,200,1602,265,200,0,24,10,8,0,0
96,in_distribution,1.0,435.05426025390625,8.352923393249512,42,200,1519,265,200,0,16,18,8,0,0
97,in_distribution,1.0,10.047442436218262,7.519489288330078,67,200,1549,251,200,0,41,22,4,0,0
98,in_distribution,1.0,466.1731262207031,8.279083251953125,44,200,1540,269,200,0,16,20,8,0,0
99,in_distribution,1.0,491.6997985839844,8.485880851745605,56,200,1578,252,200,0,16,32,8,0,0
100,in_distribution,1.0,529.3663940429688,7.522479057312012,51,200,1507,224,200,0,28,15,8,0,0
101,in_distribution,1.0,527.5386962890625,6.523439407348633,52,200,1531,225,200,0,22,22,8,0,0
102,in_distribution,1.0,429.0126647949219,7.9915771484375,65,201,1531,285,201,0,34,23,8,0,0
103,in_distribution,1.0,442.38580322265625,7.371677875518799,42,200,1529,255,200,0,24,10,8,0,0
104,in_distribution,1.0,524.6065063476562,8.136159896850586,33,200,1507,270,200,0,7,18,8,0,0
105,in_distribution,1.0,426.4719543457031,6.284516334533691,47,200,1561,281,200,0,28,11,8,0,0
106,in_distribution,1.0,530.2530517578125,7.641531467437744,41,200,1513,278,200,0,18,15,8,0,0
107,in_distribution,1.0,537.5339965820312,6.846775531768799,73,200,1524,248,200,0,39,26,8,0,0
108,in_distribution,1.0,433.16217041015625,7.701935291290283,70,200,1548,262,200,0,44,18,8,0,0
109,in_distribution,1.0,549.2117309570312,6.630716323852539,64,200,1515,231,200,0,32,24,8,0,0
110,in_distribution,1.0,502.90478515625,8.189826965332031,72,200,1585,259,200,0,45,19,8,0,0
111,in_distribution,1.0,530.4046630859375,7.517585754394531,64,200,1481,233,200,0,32,24,8,0,0
112,in_distribution,1.0,458.9250183105469,7.947337627410889,44,200,1541,271,200,0,16,20,8,0,0
113,in_distribution,1.0,438.61138916015625,7.742388725280762,58,200,1506,269,200,0,32,18,8,0,0
114,in_distribution,1.0,543.4221801757812,0.0,72,200,1497,264,200,0,42,22,8,0,0
115,in_distribution,1.0,482.8837890625,8.421164512634277,41,200,1592,261,200,0,14,19,8,0,0
116,in_distribution,1.0,12.166248321533203,7.783331871032715,49,200,1552,282,200,0,23,22,4,0,0
117,in_distribution,1.0,429.1521911621094,6.795701026916504,42,200,1559,251,200,0,16,18,8,0,0
118,in_distribution,1.0,391.3946838378906,6.59401273727417,43,200,1570,251,200,0,25,10,8,0,0
119,in_distribution,1.0,439.9210510253906,7.774135112762451,74,200,1522,228,200,0,41,25,8,0,0
120,in_distribution,1.0,399.2777099609375,7.677748203277588,37,200,1603,281,200,0,13,16,8,0,0
121,in_distribution,1.0,498.5106201171875,7.151798248291016,65,200,1576,267,200,0,16,41,8,0,0
122,in_distribution,1.0,550.6104125976562,6.951237201690674,36,200,1532,265,200,0,9,19,8,0,0
123,in_distribution,1.0,465.16387939453125,7.949477672576904,56,200,1566,245,200,0,38,10,8,0,0
124,in_distribution,1.0,12.541314125061035,7.847714424133301,46,200,1579,273,200,0,24,18,4,0,0
125,in_distribution,1.0,431.48675537109375,9.318617820739746,52,200,1531,264,200,0,34,10,8,0,0
126,in_distribution,1.0,536.7864990234375,8.05610179901123,48,200,1542,255,200,0,26,14,8,0,0
127,in_distribution,1.0,406.0212707519531,8.102489471435547,36,200,1581,273,200,0,8,20,8,0,0
128,in_distribution,1.0,528.2093505859375,7.823676586151123,52,200,1510,241,200,0,26,18,8,0,0
129,in_distribution,1.0,9.22585391998291,6.417609214782715,76,200,1544,259,200,0,50,22,4,0,0
130,in_distribution,1.0,528.5499267578125,8.027215957641602,61,200,1531,283,200,0,29,24,8,0,0
131,in_distribution,1.0,470.2305603027344,6.958828449249268,44,200,1573,245,200,0,16,20,8,0,0
132,in_distribution,1.0,493.8128356933594,7.6652092933654785,91,200,1579,243,200,0,42,41,8,0,0
133,in_distribution,1.0,447.3731384277344,8.096818923950195,75,200,1576,259,200,0,47,20,8,0,0
134,in_distribution,1.0,539.2384643554688,8.759428024291992,36,200,1529,271,200,0,9,19,8,0,0
135,in_distribution,1.0,424.4588928222656,7.01652193069458,32,200,1500,231,200,0,20,4,8,0,0
136,in_distribution,1.0,539.9655151367188,6.762144565582275,75,200,1514,243,200,0,44,23,8,0,0
137,in_distribution,1.0,537.690673828125,8.718043327331543,64,200,1536,277,200,0,34,22,8,0,0
138,in_distribution,1.0,434.8870849609375,8.24496078491211,61,200,1514,268,200,0,25,28,8,0,0
139,in_distribution,1.0,399.60272216796875,8.035710334777832,56,200,1605,259,200,0,38,10,8,0,0
140,in_distribution,1.0,506.7490234375,8.040470123291016,48,200,1583,260,200,0,20,20,8,0,0
141,in_distribution,1.0,468.06256103515625,8.721165657043457,75,200,1565,284,200,0,32,35,8,0,0
142,in_distribution,1.0,449.4998474121094,8.055644989013672,51,200,1544,280,200,0,28,15,8,0,0
143,in_distribution,1.0,538.1007080078125,7.931850433349609,48,200,1540,259,200,0,26,14,8,0,0
144,in_distribution,1.0,471.0604248046875,6.999870777130127,44,200,1564,255,200,0,16,20,8,0,0
145,in_distribution,1.0,496.9880065917969,8.680680274963379,41,200,1580,269,200,0,14,19,8,0,0
146,in_distribution,1.0,426.3001403808594,6.6241936683654785,45,200,1527,258,200,0,26,11,8,0,0
147,in_distribution,1.0,433.1874694824219,6.955345630645752,92,200,1549,242,200,0,69,15,8,0,0
148,in_distribution,1.0,426.23321533203125,6.403921127319336,47,200,1501,275,200,0,32,7,8,0,0
149,in_distribution,1.0,384.1938171386719,7.278005599975586,37,200,1594,227,200,0,13,16,8,0,0
150,in_distribution,1.0,439.7406311035156,7.939687252044678,58,200,1536,279,200,0,32,18,8,0,0
151,in_distribution,1.0,438.2926940917969,7.883032321929932,36,200,1498,266,200,0,21,7,8,0,0
152,in_distribution,1.0,540.38134765625,8.123117446899414,50,200,1538,283,200,0,23,19,8,0,0
153,in_distribution,1.0,418.7541198730469,6.825560092926025,51,200,1523,273,200,0,22,21,8,0,0
154,in_distribution,1.0,470.18475341796875,7.3506035804748535,39,200,1562,253,200,0,9,22,8,0,0
155,in_distribution,1.0,416.607177734375,7.783238410949707,57,200,1548,213,200,0,33,16,8,0,0
156,in_distribution,1.0,504.5845031738281,7.558253765106201,65,200,1580,255,200,0,16,41,8,0,0
157,in_distribution,1.0,426.54888916015625,9.12926197052002,42,200,1518,267,200,0,16,18,8,0,0
158,in_distribution,1.0,432.5357360839844,8.009007453918457,21,200,1553,278,200,0,6,7,8,0,0
159,in_distribution,1.0,452.2552795410156,8.12496566772461,28,201,1512,251,201,0,10,10,8,0,0
160,in_distribution,1.0,532.6674194335938,0.0,75,200,1527,225,200,0,49,18,8,0,0
161,in_distribution,1.0,541.188720703125,7.432227611541748,89,200,1509,250,200,0,58,23,8,0,0
162,in_distribution,1.0,539.5582275390625,7.453635215759277,77,200,1523,255,200,0,47,22,8,0,0
163,in_distribution,1.0,508.5599670410156,9.00407600402832,65,200,1587,246,200,0,14,43,8,0,0
164,in_distribution,1.0,543.1336669921875,9.525152206420898,68,201,1520,304,201,0,42,18,8,0,0
165,in_distribution,1.0,521.5491943359375,6.9792704582214355,68,200,1533,244,200,0,45,15,8,0,0
166,in_distribution,1.0,9.999443054199219,8.034445762634277,61,200,1563,278,200,0,39,18,4,0,0
167,in_distribution,1.0,474.6238098144531,8.165236473083496,56,200,1553,255,200,0,14,34,8,0,0
168,in_distribution,1.0,496.80169677734375,0.0,55,200,1593,249,200,0,20,27,8,0,0
169,in_distribution,1.0,10.905927658081055,0.0,54,200,1569,274,200,0,32,18,4,0,0
170,in_distribution,1.0,10.185276985168457,8.508541107177734,72,200,1553,272,200,0,55,13,4,0,0
171,in_distribution,1.0,533.8927612304688,7.485828399658203,68,200,1512,270,200,0,38,22,8,0,0
172,in_distribution,1.0,541.3681640625,8.357466697692871,50,200,1511,281,200,0,23,19,8,0,0
173,in_distribution,1.0,10.43336009979248,8.549532890319824,57,200,1556,276,200,0,35,18,4,0,0
174,in_distribution,1.0,11.829397201538086,8.233392715454102,43,200,1543,287,200,0,23,16,4,0,0
175,in_distribution,1.0,534.6455078125,7.092613697052002,50,200,1535,254,200,0,23,19,8,0,0
176,in_distribution,1.0,513.2384033203125,7.978282928466797,51,200,1509,245,200,0,28,15,8,0,0
177,in_distribution,1.0,425.641357421875,7.287203788757324,49,200,1517,255,200,0,25,16,8,0,0
178,in_distribution,1.0,392.8763732910156,9.000329971313477,61,200,1604,262,200,0,43,10,8,0,0
179,in_distribution,1.0,530.2437744140625,7.365447044372559,67,200,1505,245,200,0,44,15,8,0,0
180,in_distribution,1.0,524.2483520507812,8.081985473632812,52,200,1533,275,200,0,21,23,8,0,0
181,in_distribution,1.0,494.6011962890625,8.953097343444824,58,200,1579,291,200,0,26,24,8,0,0
182,in_distribution,1.0,522.5185546875,7.60128927230835,38,200,1505,268,200,0,7,23,8,0,0
183,in_distribution,1.0,508.2641296386719,8.052816390991211,51,200,1589,271,200,0,24,19,8,0,0
184,in_distribution,1.0,461.43182373046875,7.833006381988525,21,200,1534,270,200,0,6,7,8,0,0
185,in_distribution,1.0,405.24713134765625,7.153503894805908,37,200,1602,248,200,0,13,16,8,0,0
186,in_distribution,1.0,433.534912109375,8.784893989562988,30,200,1543,279,200,0,15,7,8,0,0
187,in_distribution,1.0,458.2808532714844,8.676742553710938,74,200,1571,248,200,0,46,20,8,0,0
188,in_distribution,1.0,384.77484130859375,8.372879981994629,48,200,1612,263,200,0,30,10,8,0,0
189,in_distribution,1.0,538.9569091796875,8.267101287841797,49,200,1528,238,200,0,27,14,8,0,0
190,in_distribution,1.0,390.6939392089844,7.9894490242004395,34,200,1568,261,200,0,16,10,8,0,0
191,in_distribution,1.0,9.218927383422852,7.3458075523376465,47,200,1534,235,200,0,30,13,4,0,0
192,in_distribution,1.0,513.081787109375,8.785138130187988,36,201,1543,244,201,0,6,22,8,0,0
193,in_distribution,1.0,390.56982421875,8.669827461242676,34,200,1606,284,200,0,16,10,8,0,0
194,in_distribution,1.0,11.004801750183105,8.180557250976562,46,200,1537,280,200,0,24,18,4,0,0
195,in_distribution,1.0,11.199684143066406,8.613380432128906,71,200,1546,271,200,0,54,13,4,0,0
196,in_distribution,1.0,529.44921875,8.315391540527344,43,200,1549,275,200,0,16,19,8,0,0
197,in_distribution,1.0,427.42852783203125,8.063712120056152,33,200,1548,257,200,0,21,4,8,0,0
198,in_distribution,1.0,9.186212539672852,7.194298267364502,47,200,1556,262,200,0,30,13,4,0,0
199,in_distribution,1.0,430.2481384277344,7.976596355438232,63,200,1560,276,200,0,39,16,8,0,0
200,in_distribution,1.0,431.93377685546875,7.853092670440674,47,200,1507,272,200,0,28,11,8,0,0
201,in_distribution,1.0,442.0248107910156,8.41206169128418,81,200,1535,239,200,0,63,10,8,0,0
202,in_distribution,1.0,401.3627624511719,8.260507583618164,34,200,1588,261,200,0,16,10,8,0,0
203,in_distribution,1.0,524.5745849609375,7.496863842010498,52,200,1505,255,200,0,29,15,8,0,0
204,in_distribution,1.0,481.106689453125,7.715319633483887,58,200,1598,257,200,0,26,24,8,0,0
205,in_distribution,1.0,430.1081237792969,0.0,47,200,1531,249,200,0,28,11,8,0,0
206,in_distribution,1.0,8.700644493103027,7.842577934265137,30,201,1552,236,201,0,8,18,4,0,0
207,in_distribution,1.0,488.49859619140625,7.776813983917236,53,200,1584,273,200,0,21,24,8,0,0
208,in_distribution,1.0,534.3230590820312,8.367987632751465,68,200,1511,236,200,0,45,15,8,0,0
209,in_distribution,1.0,466.2781677246094,8.597290992736816,44,200,1590,240,200,0,16,20,8,0,0
210,in_distribution,1.0,498.6200866699219,7.685868740081787,54,200,1585,261,200,0,13,33,8,0,0
211,in_distribution,1.0,425.14837646484375,8.914183616638184,51,200,1560,265,200,0,36,7,8,0,0
212,in_distribution,1.0,391.3221130371094,7.362394332885742,46,200,1577,248,200,0,28,10,8,0,0
213,in_distribution,1.0,389.4471740722656,8.381442070007324,37,200,1589,254,200,0,14,15,8,0,0
214,in_distribution,1.0,550.3621215820312,0.0,57,200,1550,251,200,0,30,19,8,0,0
215,in_distribution,1.0,438.5633239746094,8.55126667022705,21,200,1539,235,200,0,6,7,8,0,0
216,in_distribution,1.0,10.442553520202637,8.7615327835083,47,200,1548,264,200,0,30,13,4,0,0
217,in_distribution,1.0,541.7796630859375,8.229780197143555,36,200,1532,239,200,0,9,19,8,0,0
218,in_distribution,1.0,383.65911865234375,7.81368350982666,53,200,1614,270,200,0,29,16,8,0,0
219,in_distribution,1.0,452.82122802734375,9.432266235351562,21,201,1498,270,201,0,6,7,8,0,0
220,in_distribution,1.0,543.3902587890625,8.428117752075195,36,200,1547,266,200,0,9,19,8,0,0
221,in_distribution,1.0,521.7622680664062,6.619897365570068,52,200,1527,204,200,0,29,15,8,0,0
222,in_distribution,1.0,420.857666015625,7.071638107299805,48,200,1534,259,200,0,36,4,8,0,0
223,in_distribution,1.0,10.082961082458496,7.791529178619385,62,200,1558,244,200,0,40,18,4,0,0
224,in_distribution,1.0,523.5098876953125,7.737631797790527,67,200,1528,255,200,0,44,15,8,0,0
225,in_distribution,1.0,525.65869140625,0.0,36,200,1490,244,200,0,13,15,8,0,0
226,in_distribution,1.0,463.8489074707031,7.4311089515686035,44,200,1578,256,200,0,16,20,8,0,0
227,in_distribution,1.0,526.1989135742188,7.932923316955566,78,200,1524,278,200,0,52,18,8,0,0
228,in_distribution,1.0,428.56207275390625,0.0,52,200,1551,275,200,0,25,19,8,0,0
229,in_distribution,1.0,487.9732666015625,6.847869396209717,65,200,1584,248,200,0,24,33,8,0,0
230,in_distribution,1.0,434.8318176269531,8.692240715026855,52,200,1544,265,200,0,29,15,8,0,0
231,in_distribution,1.0,10.213741302490234,8.131422996520996,51,200,1536,240,200,0,25,22,4,0,0
232,in_distribution,1.0,455.3865051269531,7.380536079406738,35,200,1579,277,200,0,21,6,8,0,0
233,in_distribution,1.0,528.6942749023438,7.120266914367676,50,200,1547,279,200,0,23,19,8,0,0
234,in_distribution,1.0,375.7164306640625,8.071174621582031,63,200,1578,275,200,0,37,18,8,0,0
235,in_distribution,1.0,535.2192993164062,6.8301920890808105,54,200,1515,248,200,0,27,19,8,0,0
236,in_distribution,1.0,535.4081420898438,8.056842803955078,66,200,1541,249,200,0,36,22,8,0,0
237,in_distribution,1.0,10.836793899536133,7.791842937469482,43,200,1548,235,200,0,23,16,4,0,0
238,in_distribution,1.0,539.4611206054688,8.150772094726562,67,200,1544,244,200,0,45,14,8,0,0
239,in_distribution,1.0,517.122314453125,7.85414981842041,52,200,1536,262,200,0,29,15,8,0,0
240,in_distribution,1.0,462.1476745605469,8.438511848449707,44,200,1563,272,200,0,16,20,8,0,0
241,in_distribution,1.0,433.3128356933594,7.593864917755127,45,200,1544,232,200,0,26,11,8,0,0
242,in_distribution,1.0,532.6466674804688,7.859057426452637,51,200,1515,274,200,0,29,14,8,0,0
243,in_distribution,1.0,435.07586669921875,8.591209411621094,40,200,1523,273,200,0,16,16,8,0,0
244,in_distribution,1.0,525.206298828125,0.0,52,200,1523,250,200,0,26,18,8,0,0
245,in_distribution,1.0,530.0322265625,7.471712589263916,60,200,1513,257,200,0,34,18,8,0,0
246,in_distribution,1.0,425.46771240234375,7.944693088531494,48,200,1540,271,200,0,22,18,8,0,0
247,in_distribution,1.0,469.20379638671875,8.782951354980469,44,200,1564,266,200,0,16,20,8,0,0
248,in_distribution,1.0,447.44342041015625,0.0,69,200,1536,257,200,0,54,7,8,0,0
249,in_distribution,1.0,543.6683959960938,9.329025268554688,37,200,1532,271,200,0,11,18,8,0,0
250,in_distribution,1.0,430.4438171386719,7.812400817871094,44,200,1520,240,200,0,26,10,8,0,0
251,in_distribution,1.0,531.20703125,8.476602554321289,67,200,1517,262,200,0,44,15,8,0,0
252,in_distribution,1.0,385.0740966796875,8.574912071228027,66,200,1589,251,200,0,42,16,8,0,0
253,in_distribution,1.0,410.3409729003906,6.8827409744262695,63,200,1546,224,200,0,38,17,8,0,0
254,in_distribution,1.0,523.3370361328125,8.334871292114258,59,200,1529,259,200,0,37,14,8,0,0
255,in_distribution,1.0,10.695380210876465,8.28811264038086,37,200,1535,248,200,0,17,16,4,0,0
256,in_distribution,1.0,536.5501708984375,6.797046661376953,62,200,1537,229,200,0,35,19,8,0,0
257,in_distribution,1.0,461.80865478515625,0.0,45,200,1601,255,200,0,27,10,8,0,0
258,in_distribution,1.0,535.9852294921875,0.0,65,200,1520,267,200,0,43,14,8,0,0
259,in_distribution,1.0,396.3833923339844,7.160762786865234,59,200,1571,260,200,0,41,10,8,0,0
260,in_distribution,1.0,475.9362487792969,8.37328052520752,29,200,1554,248,200,0,11,10,8,0,0
261,in_distribution,1.0,498.7499694824219,6.778313636779785,58,200,1565,280,200,0,26,24,8,0,0
262,in_distribution,1.0,422.1055908203125,7.085792064666748,59,200,1489,239,200,0,47,4,8,0,0
263,in_distribution,1.0,429.71722412109375,6.4399027824401855,58,200,1548,252,200,0,32,18,8,0,0
264,in_distribution,1.0,375.1502380371094,9.386415481567383,37,200,1590,289,200,0,9,20,8,0,0
265,in_distribution,1.0,11.826138496398926,8.854767799377441,30,200,1559,264,200,0,8,18,4,0,0
266,in_distribution,1.0,448.1796569824219,8.114904403686523,52,200,1542,251,200,0,34,10,8,0,0
267,in_distribution,1.0,435.4573974609375,8.695915222167969,42,200,1525,264,200,0,16,18,8,0,0
268,in_distribution,1.0,10.305285453796387,8.1993408203125,30,200,1580,268,200,0,8,18,4,0,0
269,in_distribution,1.0,10.858209609985352,9.225626945495605,45,200,1535,260,200,0,28,13,4,0,0
270,in_distribution,1.0,454.41290283203125,0.0,57,200,1609,280,200,0,39,10,8,0,0
